agent_id,customer_id,customer_phone,amount,timestamp,payment_method,remittance_status,branch,language_pref,remittance_delay_hours,cash_ratio,deviation_from_agent_mean,missed_consecutive_count,is_fraud
AGT039,CUST0317,+233300693664,143.54,2026-03-11 22:48:43,cash,remitted,Kumasi,twi,0,0.5349,-762.87,0,0
AGT029,CUST0451,+233416927276,683.85,2026-03-04 11:28:24,momo,remitted,Takoradi,dagbani,0,0.38,-269.39,0,0
AGT015,CUST0123,+233980728166,152.69,2026-07-18 00:17:33,bank_transfer,missed,Cape_Coast,english,495,0.4872,-675.25,1,0
AGT043,CUST0390,+233976315611,1951.18,2026-06-17 18:43:09,momo,remitted,Tamale,dagbani,0,0.3448,1038.09,0,0
AGT008,CUST0009,+233405794297,1637.61,2026-05-04 19:24:03,cash,remitted,Takoradi,english,0,0.4884,499.5,0,0
AGT021,CUST0262,+233106722055,1708.04,2026-05-05 11:55:35,cash,remitted,Takoradi,english,0,0.5758,558.6,0,0
AGT039,CUST0073,+233584818072,1877.17,2026-07-15 21:10:49,bank_transfer,remitted,Takoradi,english,0,0.5349,970.76,0,0
AGT019,CUST0359,+233685839450,188.5,2026-02-22 13:41:50,momo,remitted,Accra,dagbani,0,0.4062,-740.72,0,0
AGT023,CUST0223,+233109035949,783.48,2026-07-12 04:00:39,momo,remitted,Takoradi,dagbani,0,0.5349,-113.33,0,0
AGT011,CUST0416,+233319624790,160.65,2026-02-25 07:14:21,bank_transfer,remitted,Accra,dagbani,0,0.3171,-702.98,0,0
AGT011,CUST0041,+233132672748,437.37,2026-07-04 10:12:25,bank_transfer,remitted,Kumasi,dagbani,0,0.3171,-426.26,0,0
AGT024,CUST0370,+233441825966,474.14,2026-08-09 20:07:18,momo,remitted,Accra,twi,0,0.5111,-593.18,0,0
AGT036,CUST0204,+233355656662,948.83,2026-04-11 04:22:54,cash,pending,Takoradi,dagbani,443,0.4872,-73.95,0,0
AGT040,CUST0264,+233274198448,551.75,2026-06-20 19:38:38,cash,remitted,Cape_Coast,dagbani,0,0.6222,-425.51,0,0
AGT024,CUST0328,+233545798062,219.94,2026-02-28 22:04:18,momo,pending,Cape_Coast,twi,299,0.5111,-847.38,0,0
AGT003,CUST0178,+233622258259,351.63,2026-06-06 13:30:12,cash,pending,Kumasi,english,584,0.5122,-606.72,0,0
AGT022,CUST0348,+233901397585,311.61,2026-04-26 02:27:26,cash,remitted,Takoradi,twi,0,0.5366,-640.4,0,0
AGT002,CUST0318,+233128751505,1946.69,2026-02-22 02:27:28,cash,remitted,Accra,dagbani,0,0.5238,867.31,0,0
AGT024,CUST0084,+233591720641,1523.4,2026-07-07 10:18:51,cash,remitted,Cape_Coast,dagbani,0,0.5111,456.08,0,0
AGT044,CUST0318,+233809924163,1936.17,2026-06-14 08:17:25,momo,pending,Tamale,dagbani,631,0.5366,1065.37,0,0
AGT030,CUST0111,+233674833629,890.69,2026-02-28 06:23:36,momo,remitted,Takoradi,dagbani,0,0.381,-23.06,0,0
AGT038,CUST0251,+233316272544,571.17,2026-02-12 11:20:19,cash,remitted,Takoradi,dagbani,0,0.4571,-385.75,0,0
AGT002,CUST0383,+233985779070,1600.62,2026-04-18 10:48:39,cash,remitted,Tamale,dagbani,0,0.5238,521.24,0,0
AGT021,CUST0007,+233798638755,665.98,2026-02-19 17:38:36,bank_transfer,missed,Cape_Coast,twi,594,0.5758,-483.46,1,0
AGT033,CUST0459,+233611328849,612.78,2026-03-07 15:20:31,cash,remitted,Tamale,english,0,0.4151,-376.6,0,0
AGT012,CUST0084,+233496360164,480.36,2026-03-11 11:23:31,momo,remitted,Kumasi,twi,0,0.55,-449.34,0,0
AGT022,CUST0208,+233619798418,276.76,2026-05-09 04:48:48,bank_transfer,remitted,Accra,twi,0,0.5366,-675.25,0,0
AGT044,CUST0388,+233513697774,527.8,2026-06-05 05:42:38,cash,remitted,Accra,dagbani,0,0.5366,-343.0,0,0
AGT025,CUST0390,+233825625243,723.53,2026-04-28 18:20:34,momo,remitted,Cape_Coast,twi,0,0.4375,-242.27,0,0
AGT049,CUST0314,+233312960167,1354.51,2026-06-03 16:19:01,bank_transfer,pending,Tamale,english,712,0.48,310.32,0,0
AGT027,CUST0022,+233105059667,143.88,2026-05-12 15:33:51,cash,pending,Takoradi,english,113,0.5161,-606.59,0,0
AGT042,CUST0410,+233745624944,436.8,2026-03-08 00:38:21,momo,missed,Takoradi,twi,305,0.5312,-528.04,1,0
AGT028,CUST0383,+233404975584,1621.87,2026-02-20 18:20:02,cash,remitted,Takoradi,twi,0,0.5116,606.83,0,0
AGT016,CUST0003,+233762454603,310.91,2026-04-20 21:35:58,cash,remitted,Kumasi,english,0,0.4688,-637.24,0,0
AGT015,CUST0127,+233444370553,698.44,2026-03-02 13:06:54,momo,remitted,Kumasi,english,0,0.4872,-129.5,0,0
AGT047,CUST0297,+233405290994,1732.02,2026-02-26 07:34:07,bank_transfer,remitted,Takoradi,twi,0,0.5,759.95,0,0
AGT044,CUST0188,+233549989262,326.75,2026-03-19 04:21:19,momo,remitted,Cape_Coast,english,0,0.5366,-544.05,0,0
AGT003,CUST0362,+233923455654,183.82,2026-05-31 19:59:02,cash,remitted,Kumasi,english,0,0.5122,-774.53,0,0
AGT037,CUST0014,+233798685185,979.39,2026-03-09 17:22:57,cash,remitted,Kumasi,english,0,0.4898,-188.38,0,0
AGT007,CUST0459,+233824014014,618.79,2026-02-12 20:58:45,momo,remitted,Accra,twi,0,0.625,-439.07,0,0
AGT021,CUST0466,+233727478300,1135.55,2026-02-14 01:19:32,cash,remitted,Accra,twi,0,0.5758,-13.89,0,0
AGT009,CUST0012,+233867381608,1611.53,2026-04-10 05:10:50,momo,missed,Cape_Coast,english,571,0.4595,495.35,1,0
AGT039,CUST0087,+233728998345,291.55,2026-02-22 17:19:17,momo,remitted,Kumasi,dagbani,0,0.5349,-614.86,0,0
AGT018,CUST0012,+233580692673,1169.78,2026-07-11 10:43:06,momo,missed,Kumasi,english,194,0.4722,199.5,1,0
AGT004,CUST0397,+233692873266,1020.91,2026-04-16 23:36:09,momo,pending,Tamale,english,661,0.4412,-21.15,0,0
AGT025,CUST0025,+233502270026,305.28,2026-07-29 16:11:32,cash,remitted,Cape_Coast,english,0,0.4375,-660.52,0,0
AGT014,CUST0301,+233523880652,1255.52,2026-03-16 12:46:48,cash,remitted,Cape_Coast,english,0,0.4595,353.74,0,0
AGT050,CUST0243,+233143513097,561.81,2026-04-30 21:58:42,cash,remitted,Tamale,english,0,0.5455,-333.75,0,0
AGT009,CUST0122,+233109249677,985.91,2026-05-24 01:12:45,momo,pending,Tamale,english,378,0.4595,-130.27,0,0
AGT026,CUST0147,+233684528081,182.9,2026-03-04 11:31:15,momo,remitted,Accra,twi,0,0.4182,-1039.34,0,0
