agent_id,customer_id,customer_phone,amount,timestamp,payment_method,remittance_status,branch
AGT039,CUST0317,+233300693664,143.54,2026-01-21 03:18:33,cash,remitted,Kumasi
AGT029,CUST0451,+233416927276,683.85,2026-01-13 15:58:14,momo,remitted,Takoradi
AGT015,CUST0123,+233980728166,152.69,2026-05-29 04:47:23,bank_transfer,missed,Cape_Coast
AGT043,CUST0390,+233976315611,1951.18,2026-04-28 23:12:59,momo,remitted,Tamale
AGT008,CUST0009,+233405794297,1637.61,2026-03-15 23:53:53,cash,remitted,Takoradi
AGT021,CUST0262,+233106722055,1708.04,2026-03-16 16:25:25,cash,remitted,Takoradi
AGT039,CUST0073,+233584818072,1877.17,2026-05-27 01:40:39,bank_transfer,remitted,Takoradi
AGT019,CUST0359,+233685839450,188.5,2026-01-03 18:11:40,momo,remitted,Accra
AGT023,CUST0223,+233109035949,783.48,2026-05-23 08:30:29,momo,remitted,Takoradi
AGT011,CUST0416,+233319624790,160.65,2026-01-06 11:44:11,bank_transfer,remitted,Accra
AGT011,CUST0041,+233132672748,437.37,2026-05-15 14:42:15,bank_transfer,remitted,Kumasi
AGT024,CUST0370,+233441825966,474.14,2026-06-21 00:37:08,momo,remitted,Accra
AGT036,CUST0204,+233355656662,948.83,2026-02-20 08:52:44,cash,pending,Takoradi
AGT040,CUST0264,+233274198448,551.75,2026-05-02 00:08:28,cash,remitted,Cape_Coast
AGT024,CUST0328,+233545798062,219.94,2026-01-10 02:34:08,momo,pending,Cape_Coast
AGT003,CUST0178,+233622258259,351.63,2026-04-17 18:00:02,cash,pending,Kumasi
AGT022,CUST0348,+233901397585,311.61,2026-03-07 06:57:16,cash,remitted,Takoradi
AGT002,CUST0318,+233128751505,1946.69,2026-01-03 06:57:18,cash,remitted,Accra
AGT024,CUST0084,+233591720641,1523.4,2026-05-18 14:48:41,cash,remitted,Cape_Coast
AGT044,CUST0318,+233809924163,1936.17,2026-04-25 12:47:15,momo,pending,Tamale
AGT030,CUST0111,+233674833629,890.69,2026-01-09 10:53:26,momo,remitted,Takoradi
AGT038,CUST0251,+233316272544,571.17,2025-12-24 15:50:09,cash,remitted,Takoradi
AGT002,CUST0383,+233985779070,1600.62,2026-02-27 15:18:29,cash,remitted,Tamale
AGT021,CUST0007,+233798638755,665.98,2025-12-31 22:08:26,bank_transfer,missed,Cape_Coast
AGT033,CUST0459,+233611328849,612.78,2026-01-16 19:50:21,cash,remitted,Tamale
AGT012,CUST0084,+233496360164,480.36,2026-01-20 15:53:21,momo,remitted,Kumasi
AGT022,CUST0208,+233619798418,276.76,2026-03-20 09:18:38,bank_transfer,remitted,Accra
AGT044,CUST0388,+233513697774,527.8,2026-04-16 10:12:28,cash,remitted,Accra
AGT025,CUST0390,+233825625243,723.53,2026-03-09 22:50:24,momo,remitted,Cape_Coast
AGT049,CUST0314,+233312960167,1354.51,2026-04-14 20:48:51,bank_transfer,pending,Tamale
AGT027,CUST0022,+233105059667,143.88,2026-03-23 20:03:41,cash,pending,Takoradi
AGT042,CUST0410,+233745624944,436.8,2026-01-17 05:08:11,momo,missed,Takoradi
AGT028,CUST0383,+233404975584,1621.87,2026-01-01 22:49:52,cash,remitted,Takoradi
AGT016,CUST0003,+233762454603,310.91,2026-03-02 02:05:48,cash,remitted,Kumasi
AGT015,CUST0127,+233444370553,698.44,2026-01-11 17:36:44,momo,remitted,Kumasi
AGT047,CUST0297,+233405290994,1732.02,2026-01-07 12:03:57,bank_transfer,remitted,Takoradi
AGT044,CUST0188,+233549989262,326.75,2026-01-28 08:51:09,momo,remitted,Cape_Coast
AGT003,CUST0362,+233923455654,183.82,2026-04-12 00:28:52,cash,remitted,Kumasi
AGT037,CUST0014,+233798685185,979.39,2026-01-18 21:52:47,cash,remitted,Kumasi
AGT007,CUST0459,+233824014014,618.79,2025-12-25 01:28:35,momo,remitted,Accra
AGT021,CUST0466,+233727478300,1135.55,2025-12-26 05:49:22,cash,remitted,Accra
AGT009,CUST0012,+233867381608,1611.53,2026-02-19 09:40:40,momo,missed,Cape_Coast
AGT039,CUST0087,+233728998345,291.55,2026-01-03 21:49:07,momo,remitted,Kumasi
AGT018,CUST0012,+233580692673,1169.78,2026-05-22 15:12:56,momo,missed,Kumasi
AGT004,CUST0397,+233692873266,1020.91,2026-02-26 04:05:59,momo,pending,Tamale
AGT025,CUST0025,+233502270026,305.28,2026-06-09 20:41:22,cash,remitted,Cape_Coast
AGT014,CUST0301,+233523880652,1255.52,2026-01-25 17:16:38,cash,remitted,Cape_Coast
AGT050,CUST0243,+233143513097,561.81,2026-03-12 02:28:32,cash,remitted,Tamale
AGT009,CUST0122,+233109249677,985.91,2026-04-04 05:42:35,momo,pending,Tamale
AGT026,CUST0147,+233684528081,182.9,2026-01-13 16:01:05,momo,remitted,Accra
AGT002,CUST0055,+233696447794,929.98,2026-03-31 10:08:18,momo,missed,Cape_Coast
AGT020,CUST0238,+233801312117,626.8,2026-02-04 22:02:20,momo,remitted,Cape_Coast
AGT028,CUST0356,+233597089224,1648.31,2026-01-23 07:48:12,bank_transfer,pending,Tamale
AGT047,CUST0173,+233583499384,132.82,2026-05-03 17:23:11,cash,pending,Takoradi
AGT007,CUST0392,+233762806054,848.84,2026-06-08 15:58:56,cash,remitted,Takoradi
AGT044,CUST0221,+233631281435,927.69,2026-03-07 21:20:06,cash,remitted,Accra
AGT008,CUST0119,+233838083586,1455.51,2026-05-14 22:22:24,momo,remitted,Takoradi
AGT047,CUST0309,+233692177605,1157.09,2026-05-10 14:52:52,cash,remitted,Takoradi
AGT035,CUST0183,+233617794458,1341.08,2026-01-29 20:05:41,momo,remitted,Takoradi
AGT014,CUST0288,+233754781953,1558.56,2026-02-21 11:43:53,momo,missed,Kumasi
AGT017,CUST0307,+233228812636,1727.16,2026-04-07 03:17:38,bank_transfer,remitted,Accra
AGT036,CUST0300,+233385374117,641.47,2026-04-20 20:34:47,bank_transfer,missed,Tamale
AGT050,CUST0082,+233439378562,1085.28,2026-05-27 08:39:57,cash,pending,Takoradi
AGT040,CUST0454,+233245889167,1683.41,2026-04-27 01:11:07,cash,remitted,Kumasi
AGT004,CUST0402,+233710474279,1979.11,2026-03-10 08:05:26,momo,missed,Takoradi
AGT002,CUST0211,+233400701953,1781.25,2026-05-12 06:45:01,cash,remitted,Kumasi
AGT006,CUST0150,+233150279504,755.51,2026-06-12 16:56:27,cash,missed,Accra
AGT042,CUST0037,+233937013416,406.43,2026-06-18 15:00:05,momo,remitted,Takoradi
AGT004,CUST0352,+233838881533,989.0,2026-06-16 02:53:02,cash,remitted,Kumasi
AGT029,CUST0312,+233239555083,1488.45,2026-04-30 05:18:02,momo,remitted,Cape_Coast
AGT018,CUST0361,+233293448354,995.29,2026-02-18 09:37:41,momo,remitted,Cape_Coast
AGT026,CUST0059,+233954067434,976.7,2026-04-29 23:01:27,cash,remitted,Kumasi
AGT044,CUST0131,+233462462518,1679.7,2026-01-11 10:04:52,cash,remitted,Takoradi
AGT034,CUST0412,+233431570988,735.58,2026-01-22 10:11:52,cash,remitted,Takoradi
AGT010,CUST0202,+233741533902,1722.39,2026-05-31 12:36:05,momo,missed,Accra
AGT036,CUST0243,+233287857881,825.47,2026-02-20 15:45:11,cash,remitted,Accra
AGT014,CUST0035,+233787773028,669.9,2026-04-27 08:59:52,bank_transfer,remitted,Tamale
AGT031,CUST0445,+233628295124,918.9,2025-12-26 00:53:54,cash,remitted,Accra
AGT048,CUST0093,+233349205309,1529.64,2026-01-01 23:45:31,cash,pending,Takoradi
AGT015,CUST0438,+233351867184,269.48,2026-01-31 00:40:24,cash,missed,Tamale
AGT008,CUST0447,+233500150750,408.91,2026-05-04 04:22:11,cash,remitted,Accra
AGT014,CUST0207,+233386573975,1903.86,2026-03-02 12:30:37,cash,remitted,Kumasi
AGT023,CUST0353,+233754087672,367.47,2026-05-16 18:33:11,momo,remitted,Cape_Coast
AGT040,CUST0391,+233389414437,1144.1,2026-03-02 00:34:04,momo,remitted,Accra
AGT021,CUST0332,+233510617627,1167.04,2026-04-04 06:44:27,cash,missed,Accra
AGT016,CUST0305,+233690096660,989.46,2026-05-11 09:28:38,cash,remitted,Kumasi
AGT045,CUST0350,+233926750389,1296.6,2026-05-02 21:18:56,momo,missed,Takoradi
AGT018,CUST0213,+233537404778,475.06,2026-05-15 19:41:33,momo,remitted,Kumasi
AGT047,CUST0159,+233872798097,1114.27,2026-01-26 09:02:11,cash,missed,Accra
AGT024,CUST0442,+233760986275,756.9,2026-05-12 19:49:22,momo,remitted,Takoradi
AGT026,CUST0445,+233842885986,1330.1,2026-01-07 14:24:08,cash,missed,Tamale
AGT025,CUST0024,+233433352364,299.62,2026-01-18 21:04:50,momo,missed,Accra
AGT045,CUST0404,+233209011318,1150.34,2026-01-17 03:36:35,cash,missed,Kumasi
AGT041,CUST0293,+233282683720,386.84,2026-03-21 05:11:43,cash,remitted,Tamale
AGT029,CUST0004,+233341864628,571.71,2026-04-05 19:52:57,bank_transfer,remitted,Cape_Coast
AGT015,CUST0220,+233579930341,453.05,2026-02-09 09:20:34,cash,remitted,Tamale
AGT045,CUST0364,+233267439993,382.02,2026-03-31 01:30:45,momo,remitted,Kumasi
AGT001,CUST0382,+233487773469,1654.91,2026-02-05 13:00:28,cash,remitted,Tamale
AGT025,CUST0020,+233943615419,585.7,2026-02-22 21:18:29,momo,remitted,Kumasi
AGT007,CUST0444,+233307791969,1855.71,2026-02-10 19:04:08,bank_transfer,remitted,Accra
AGT009,CUST0152,+233676554783,1940.45,2026-04-27 01:31:27,cash,remitted,Takoradi
AGT024,CUST0050,+233411051714,1151.1,2026-01-15 08:44:43,momo,remitted,Cape_Coast
AGT001,CUST0177,+233959523266,303.14,2026-04-04 04:22:54,momo,remitted,Takoradi
AGT044,CUST0435,+233561976731,761.61,2026-01-20 09:23:48,momo,remitted,Takoradi
AGT008,CUST0096,+233440446379,1599.51,2026-03-22 13:05:35,momo,remitted,Takoradi
AGT024,CUST0105,+233815692878,747.43,2026-06-19 23:30:50,bank_transfer,remitted,Kumasi
AGT011,CUST0420,+233140162344,192.29,2026-03-24 19:58:26,cash,remitted,Kumasi
AGT017,CUST0250,+233877325630,1122.43,2026-04-16 12:24:37,cash,missed,Cape_Coast
AGT008,CUST0117,+233524658966,1693.34,2026-05-03 16:45:34,bank_transfer,missed,Kumasi
AGT035,CUST0354,+233395780711,1595.93,2026-03-20 08:36:39,momo,missed,Kumasi
AGT035,CUST0228,+233699800906,366.74,2026-04-22 15:44:01,cash,missed,Kumasi
AGT033,CUST0066,+233453040943,1352.07,2026-03-08 22:52:44,momo,remitted,Kumasi
AGT005,CUST0335,+233152869791,456.6,2026-04-14 05:23:52,momo,remitted,Accra
AGT042,CUST0418,+233620431609,452.05,2026-05-15 19:13:27,cash,remitted,Cape_Coast
AGT039,CUST0420,+233615620858,1750.66,2026-02-08 22:00:39,cash,remitted,Kumasi
AGT041,CUST0262,+233534110264,514.34,2026-06-04 01:47:45,momo,remitted,Cape_Coast
AGT028,CUST0295,+233217769333,541.23,2026-05-30 17:23:25,cash,remitted,Tamale
AGT007,CUST0426,+233982984547,21.29,2026-03-31 19:56:43,momo,remitted,Accra
AGT009,CUST0243,+233714069627,1743.92,2026-03-25 00:20:19,momo,remitted,Kumasi
AGT008,CUST0371,+233909193376,1589.34,2026-06-15 09:07:08,cash,pending,Accra
AGT012,CUST0186,+233210864279,1262.11,2026-01-26 05:17:40,cash,remitted,Accra
AGT034,CUST0246,+233634950566,1505.53,2026-03-08 13:08:48,cash,remitted,Tamale
AGT033,CUST0125,+233150171169,321.06,2026-02-03 14:48:39,cash,remitted,Cape_Coast
AGT048,CUST0268,+233816659127,927.48,2026-03-17 12:26:38,momo,remitted,Accra
AGT023,CUST0131,+233811368347,715.41,2026-04-06 18:03:03,cash,remitted,Takoradi
AGT024,CUST0237,+233875367588,205.68,2026-04-19 17:28:19,momo,missed,Tamale
AGT037,CUST0018,+233725950726,982.54,2026-03-25 05:34:08,cash,remitted,Takoradi
AGT035,CUST0040,+233712437187,1843.06,2026-05-31 20:40:07,cash,remitted,Tamale
AGT044,CUST0021,+233292321956,99.32,2026-02-01 22:06:25,cash,remitted,Takoradi
AGT040,CUST0399,+233701712183,597.09,2026-02-16 23:08:19,cash,remitted,Takoradi
AGT022,CUST0225,+233151139392,430.93,2026-01-06 03:00:15,cash,pending,Accra
AGT027,CUST0355,+233511790528,491.53,2026-06-15 06:13:19,cash,remitted,Accra
AGT035,CUST0282,+233944581422,1818.7,2026-03-26 16:10:43,bank_transfer,pending,Tamale
AGT001,CUST0008,+233763399571,946.78,2026-04-23 15:15:18,momo,missed,Cape_Coast
AGT035,CUST0100,+233485554194,943.27,2026-03-13 13:01:47,cash,missed,Accra
AGT037,CUST0240,+233209297308,1525.94,2026-03-01 17:38:41,cash,remitted,Accra
